,institution,year,author,title,ENTRYTYPE,ID,file,pages,keywords,journal,urldate,number,language,abstract,doi,url,shorttitle,issn,volume,copyright,type,address,month,publisher,annote,note,pmid,isbn,editor,booktitle,series,link
27,,2019,"MacKay, Charles",Extraordinary {Popular} {Delusions} and the {Madness} of {Crowds},book,mackay_extraordinary_2019,,,,,,,en,"First published in 1841, this history chronicles the popular delusions throughout world history. It is divided into three broad categories, including 'National Delusions, ' 'Peculiar Follies, ' and 'Philosophical Delusions.' The author discusses and usually debunks a wide variety of subjects and events. These include economic bubbles like the tulip craze of Holland in 1637 or the Mississippi Company financial bubble of 1719; alchemy, which was of particular interest to individuals who wanted to create gold out of lesser-valued materials; the Crusades, also known as the Middle Ages mania; witch hunts, the persecution of thousands of innocent victims that arose from either supernatural ill fortune or neighbors with a score to settle; duels; the political and religious influence on beards; and several others. This work, with all of its interesting observations, is an entertaining and insightful book that explores the phenomenon of crowd mentality. This edition is printed on premium acid-free paper.",,,,,,,,,February,Digireads.com,,Google-Books-ID: 06hgwgEACAAJ,,978-1-4209-6101-0,,,,https://www.amazon.in/Extraordinary-Popular-Delusions-Wordsworth-Reference/dp/1853263494
28,,1852,"Mackay, Charles",Memoirs of {Extraordinary} {Popular} {Delusions} and the {Madness} of {Crowds},book,mackay_memoirs_1852,,,,,,,en,,,,,,,,,,,Office of National illustrated library,,Google-Books-ID: JhU3AQAAMAAJ,,,,,,https://www.amazon.fr/Extraordinary-Popular-Delusions-Madness-Crowds/dp/1463740514
29,,2019,"Gentzkow, Matthew and Kelly, Bryan and Taddy, Matt",Text as {Data},article,gentzkow_text_2019,Full Text PDF:/Users/Myworld/Zotero/storage/D9DUV53C/Gentzkow et al. - 2019 - Text as Data.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/CSG3R5W9/articles.html:text/html,535--574,"Cluster Analysis, Economic Anthropology, Factor Models, Large Data Sets: Modeling and Analysis, Entertainment, Language, Media, Economic Sociology, Multiple or Simultaneous Equation Models: Classification Methods, Principal Components, Social and Economic Stratification",Journal of Economic Literature,2020-02-13,3,en,"An ever-increasing share of human interaction, communication, and culture is recorded as digital text. We provide an introduction to the use of text as an input to economic research. We discuss the features that make text different from other forms of data, offer a practical overview of relevant statistical methods, and survey a variety of applications.",10.1257/jel.20181020,https://www.aeaweb.org/articles?id=10.1257/jel.20181020,,0022-0515,57,,,,September,,,,,,,,,https://www.ablebits.com/office-addins-blog/2018/07/18/excel-convert-text-to-number/
30,,2004,"Lo, Andrew W.",The {Adaptive} {Markets} {Hypothesis},article,lo_adaptive_2004,Snapshot:/Users/Myworld/Zotero/storage/KQ3D4QNV/15.html:text/html,15--29,,The Journal of Portfolio Management,2020-02-13,5,en,"One of the most influential ideas in the past 30 years is the efficient markets hypothesis, the idea that market prices incorporate all information rationally and instantaneously. The emerging discipline of behavioral economics and finance has challenged the EMH, arguing that markets are not rational, but rather driven by fear and greed. Research in the cognitive neurosciences suggests these two perspectives are opposite sides of the same coin. An adaptive markets hypothesis that reconciles market efficiency with behavioral alternatives applies the principles of evolution?competition, adaptation, and natural selection?to financial interactions. Extending Simon's notion of ?satisficing? with evolutionary dynamics, the author argues that much of what behaviorists cite as counter-examples to economic rationality?loss aversion, overconfidence, overreaction, mental accounting, and other behavioral biases?is in fact consistent with an evolutionary model of individual adaptation to a changing environment via simple heuristics. The adaptive markets hypothesis offers a number of surprisingly concrete implications for portfolio management.",10.3905/jpm.2004.442611,https://jpm.pm-research.com/content/30/5/15,,"0095-4918, 2168-8656",30,© 2004 Pageant Media Ltd,,,January,,,,,,,,,https://en.wikipedia.org/wiki/Adaptive_market_hypothesis
31,,2006,"Chen, M. Keith and Lakshminarayanan, Venkat and Santos, Laurie R.",How {Basic} {Are} {Behavioral} {Biases}? {Evidence} from {Capuchin} {Monkey} {Trading} {Behavior},article,chen_how_2006,,517--537,,Journal of Political Economy,2020-02-14,3,,"Behavioral economics has demonstrated systematic decision‐making biases in both lab and field data. Do these biases extend across contexts, cultures, or even species? We investigate this question by introducing fiat currency and trade to a colony of capuchin monkeys and recovering their preferences over a range of goods and gambles. We show that capuchins react rationally to both price and wealth shocks but display several hallmark biases when faced with gambles, including reference dependence and loss aversion. Given our capuchins’ inexperience with money and trade, these results suggest that loss aversion extends beyond humans and may be innate rather than learned.",10.1086/503550,https://www.jstor.org/stable/10.1086/503550,How {Basic} {Are} {Behavioral} {Biases}?,0022-3808,114,,,,,,,,,,,,,https://www.researchgate.net/publication/24104458_How_Basic_Are_Behavioral_Biases_Evidence_from_Capuchin_Monkey_Trading_Behavior
32,,1990,"Rolls, Edmund T.","A {Theory} of {Emotion}, and its {Application} to {Understanding} the {Neural} {Basis} of {Emotion}",article,rolls_theory_1990,Snapshot:/Users/Myworld/Zotero/storage/4FHEZJDA/02699939008410795.html:text/html,161--190,,Cognition and Emotion,2020-02-14,3,,"It is shown that emotions can usefully be considered as states produced by reinforcing stimuli. The ways in which a wide variety of emotions can be produced, and the functions of emotion, are considered. There is evidence that the amygdala is involved in the formation of stimulus-reinforcement associations, and the orbitofrontal cortex with correcting behavioural responses when these are no longer appropriate because previous reinforcement contingencies change. This evidence comes from the effects of damage to these structures, and from recording the activity of single neurons in these structures in the monkey during the formation and disconnection of stimulus-reinforcement associations. In so far as emotions can be defined as states produced by reinforcing stimuli, then the amygdala and orbitofrontal cortex are seen to be of great importance for emotions, in that they are involved respectively in the elicitation of learned emotional responses, and in the correction or adjustment of these emotional responses as the reinforcing value of environmental stimuli alters. One of the theses advanced is that the changes in emotional behaviour produced by damage to the brain can be analysed and understood by considering how different parts of it function in reinforcement and in the formation and disconnection of stimulus-reinforcement connections. Another thesis is that there is a population of neurons in the amygdala and parts of the temporal lobe visual cortex specialised to respond to faces, and that these neurons may be involved in social and emotional resposes to faces. Some of the outputs of the amygdala and orbitofrontal cortex are directed to the hypothalamus, which not only provides one route for these reinforcing environmental events to produce autonomic responses, but also is implicated in the utilisation of such stimuli in motivational responses, such as feeding and drinking, and in emotional behaviour. Other outputs of the amygdala and orbitofrontal cortex which may enable them to influence behaviour are directed to the striatum, and also back towards some of the cortical regions from which they receive inputs. It is suggested that these latter projections are important in the effects which mood states have on cognitive processing.",10.1080/02699939008410795,https://doi.org/10.1080/02699939008410795,,0269-9931,4,,,,July,,,,,,,,,https://www.tandfonline.com/doi/abs/10.1080/02699939008410795
33,,2018,"Bailey, Michael and Cao, Rachel and Kuchler, Theresa and Stroebel, Johannes and Wong, Arlene","Social {Connectedness}: {Measurement}, {Determinants}, and {Effects}",article,bailey_social_2018,"Full Text PDF:/Users/Myworld/Zotero/storage/LKMUB9KA/Bailey et al. - 2018 - Social Connectedness Measurement, Determinants, a.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/3465N2S3/articles.html:text/html",259--280,"Economic Anthropology, Social and Economic Stratification, Language, Computer Software, Economic Sociology, Index Numbers and Aggregation, Leading indicators, Information and Internet Services",Journal of Economic Perspectives,2020-02-14,3,en,"Social networks can shape many aspects of social and economic activity: migration and trade, job-seeking, innovation, consumer preferences and sentiment, public health, social mobility, and more. In turn, social networks themselves are associated with geographic proximity, historical ties, political boundaries, and other factors. Traditionally, the unavailability of large-scale and representative data on social connectedness between individuals or geographic regions has posed a challenge for empirical research on social networks. More recently, a body 
of such research has begun to emerge using data on social connectedness from online social networking services such as Facebook, LinkedIn, and Twitter. To date, most of these research projects have been built on anonymized administrative microdata from Facebook, typically by working with coauthor teams that include Facebook employees. However, there is an 
inherent limit to the number of researchers that will be able to work with social network data through such collaborations. In this paper, we therefore introduce a new measure of social connectedness at the US county level. Our Social Connectedness Index is based on friendship links on Facebook, the global online social networking service. Specifically, the Social Connectedness Index corresponds to the relative frequency of Facebook friendship links between every county-pair in the United States, and between every US county and every foreign
country. Given Facebook's scale as well as the relative representativeness of Facebook's user body, these data provide the first comprehensive measure of friendship networks at a national level.",10.1257/jep.32.3.259,https://www.aeaweb.org/articles?id=10.1257/jep.32.3.259,Social {Connectedness},0895-3309,32,,,,August,,,,,,,,,https://pubs.aeaweb.org/doi/pdf/10.1257/jep.32.3.259
34,,2018,"Bailey, Michael and Cao, Ruiqing and Kuchler, Theresa and Stroebel, Johannes",The economic effects of social networks: Evidence from the housing market,article,bailey2018economic,,2224--2276,,Journal of Political Economy,,6,,,,,,,126,,,,,"University of Chicago Press Chicago, IL",,,,,,,,https://www.journals.uchicago.edu/doi/abs/10.1086/700073
35,,2011,"Kindleberger, Charles P. and Aliber, Robert Z.","Manias, {Panics} and {Crashes}: {A} {History} of {Financial} {Crises}, {Sixth} {Edition}",book,kindleberger_manias_2011,,,"Business \& Economics / General, Business \& Economics / Economics / General, Business \& Economics / Economics / Macroeconomics, Business \& Economics / Finance / General, Business \& Economics / Economic History, Business \& Economics / International / Economics, Business \& Economics / International / General",,,,en,"This highly anticipated sixth edition has been revised to include an in-depth analysis of the first global crisis of the twenty-first century. Providing a scholarly and entertaining account of such topics as the history of crises, speculative manias and Lehman Brothers, this book has been hailed as \&\#39;a true classic...both timely and timeless.\&\#39;",,,"Manias, {Panics} and {Crashes}",,,,,,August,Palgrave Macmillan,,,,978-0-230-36535-3,,,,https://www.amazon.com/Manias-Panics-Crashes-History-Financial/dp/0230365353
36,,2010,"Jackson, Matthew O.",Social and {Economic} {Networks},book,jackson_social_2010,,,"Business \& Economics / Economics / Microeconomics, Mathematics / Group Theory, Social Science / Research, Social Science / Social Classes \& Economic Disparity, Social Science / Sociology / General",,,,en,"Networks of relationships help determine the careers that people choose, the jobs they obtain, the products they buy, and how they vote. The many aspects of our lives that are governed by social networks make it critical to understand how they impact behavior, which network structures are likely to emerge in a society, and why we organize ourselves as we do. In Social and Economic Networks, Matthew Jackson offers a comprehensive introduction to social and economic networks, drawing on the latest findings in economics, sociology, computer science, physics, and mathematics. He provides empirical background on networks and the regularities that they exhibit, and discusses random graph-based models and strategic models of network formation. He helps readers to understand behavior in networked societies, with a detailed analysis of learning and diffusion in networks, decision making by individuals who are influenced by their social neighbors, game theory and markets on networks, and a host of related subjects. Jackson also describes the varied statistical and modeling techniques used to analyze social networks. Each chapter includes exercises to aid students in their analysis of how networks function. This book is an indispensable resource for students and researchers in economics, mathematics, physics, sociology, and business.",,,,,,,,,November,Princeton University Press,,Google-Books-ID: rFzHinVAq7gC,,978-1-4008-3399-3,,,,https://web.stanford.edu/~jacksonm/netbook.pdf
37,,1992,"Bikhchandani, Sushil and Hirshleifer, David and Welch, Ivo","A {Theory} of {Fads}, {Fashion}, {Custom}, and {Cultural} {Change} as {Informational} {Cascades}",article,bikhchandani_theory_1992,,992--1026,,Journal of Political Economy,2020-02-14,5,,"An informational cascade occurs when it is optimal for an individual, having observed the actions of those ahead of him, to follow the behavior of the preceding individual without regard to his own information. We argue that localized conformity of behavior and the fragility of mass behaviors can be explained by informational cascades.",,https://www.jstor.org/stable/2138632,,0022-3808,100,,,,,,,,,,,,,https://www.jstor.org/stable/2138632
38,,2019,"Lo, Andrew W.",Adaptive {Markets}: {Financial} {Evolution} at the {Speed} of {Thought},book,lo_adaptive_2019,,,"Business \& Economics / Consumer Behavior, Business \& Economics / Economics / General, Business \& Economics / Finance / General, Business \& Economics / Economics / Theory, Business \& Economics / Forecasting, Business \& Economics / Investments \& Securities / General",,,,en,"A new, evolutionary explanation of markets and investor behaviorHalf of all Americans have money in the stock market, yet economists can’t agree on whether investors and markets are rational and efficient, as modern financial theory assumes, or irrational and inefficient, as behavioral economists believe. The debate is one of the biggest in economics, and the value or futility of investment management and financial regulation hangs on the answer. In this groundbreaking book, Andrew Lo transforms the debate with a powerful new framework in which rationality and irrationality coexist—the Adaptive Markets Hypothesis. Drawing on psychology, evolutionary biology, neuroscience, artificial intelligence, and other fields, Adaptive Markets shows that the theory of market efficiency is incomplete. When markets are unstable, investors react instinctively, creating inefficiencies for others to exploit. Lo’s new paradigm explains how financial evolution shapes behavior and markets at the speed of thought—a fact revealed by swings between stability and crisis, profit and loss, and innovation and regulation. An ambitious new answer to fundamental questions about economics and investing, Adaptive Markets is essential reading for anyone who wants to understand how markets really work.",,,Adaptive {Markets},,,,,,May,Princeton University Press,,Google-Books-ID: Q4d7DwAAQBAJ,,978-0-691-19136-2,,,,https://www.amazon.co.jp/Adaptive-Markets-Financial-Evolution-Thought/dp/0691135142
39,,1992,"Anderson, Roy M. and Anderson, B. and May, Robert M.",Infectious {Diseases} of {Humans}: {Dynamics} and {Control},book,anderson_infectious_1992,,,"Medical / Epidemiology, Medical / Infectious Diseases, Medical / Parasitology, Medical / Tropical Medicine, Nature / Ecology, Science / Life Sciences / Ecology, Science / Life Sciences / Zoology / General",,,,en,"This book deals with infectious diseases -- viral, bacterial, protozoan and helminth -- in terms of the dynamics of their interaction with host populations. The book combines mathematical models with extensive use of epidemiological and other data. This analytic framework is highly useful for the evaluation of public health strategies aimed at controlling or eradicating particular infections. Such a framework is increasingly important in light of the widespread concern for primary health care programs aimed at such diseases as measles, malaria, river blindness, sleeping sickness, and schistosomiasis, and the advent of AIDS/HIV and other emerging viruses. Throughout the book, the mathematics is used as a tool for thinking clearly about fundamental and applied problems having to do with infectious diseases. The book is divided into two parts, one dealing with microparasites (viruses, bacteria and protozoans) and the other with macroparasites (helminths and parasitic arthropods). Each part begins with simple models, developed in a biologically intuitive way, and then goes on to develop more complicated and realistic models as tools for public health planning. The book synthesizes previous work in this rapidly growing field (much of which is scattered between the ecological and the medical literature) with a good deal of new material.",,,Infectious {Diseases} of {Humans},,,,,,August,OUP Oxford,,,,978-0-19-854040-3,,,,https://www.amazon.com/Infectious-Diseases-Humans-Dynamics-Control/dp/019854040X
40,,2007,"Leskovec, Jure and Adamic, Lada A and Huberman, Bernardo A",The dynamics of viral marketing,article,leskovec2007dynamics,,5--es,,ACM Transactions on the Web (TWEB),,1,,,,,,,1,,,,,"ACM New York, NY, USA",,,,,,,,https://www.cs.cmu.edu/~jure/pubs/viral-tweb.pdf
41,,2005,"Schneider, David J.",The {Psychology} of {Stereotyping},book,schneider_psychology_2005,,,"Psychology / Social Psychology, Social Science / Sociology / General",,,,en,"The first comprehensive treatment of stereotypes and stereotyping, this text synthesizes a vast body of social and cognitive research that has emerged over the past-quarter century. Provided is an unusually broad analysis of stereotypes as products both of individual cognitive activities and of social and cultural forces. While devoting careful attention to harmful aspects of stereotypes, their connections to prejudice and discrimination, and effective strategies for countering them, the volume also examines the positive functions of generalizations in helping people navigate a complex world. Unique features include four chapters addressing the content of stereotypes, which consider such topics as why certain traits are the focus of stereotyping and how they become attributed to particular groups. An outstanding text for advanced undergraduate- and graduate-level courses, the volume is highly readable and features many useful examples.",,,,,,,,,April,Guilford Press,,Google-Books-ID: mHTLBB1xhcEC,,978-1-59385-193-4,,,,https://scholar.harvard.edu/files/shleifer/files/stereotypes_june_6.pdf
42,,2010,"De Grauwe, Paul",Top-{Down} versus {Bottom}-{Up} {Macroeconomics},article,de_grauwe_top-down_2010,Full Text PDF:/Users/Myworld/Zotero/storage/3UH2IF2F/De Grauwe - 2010 - Top-Down versus Bottom-Up Macroeconomics.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/BTF7TXFM/483703.html:text/html,465--497,,CESifo Economic Studies,2020-02-14,4,en,Abstract.  I distinguish two types of macroeconomic models. The first type are top-down models in which some or all agents are capable of understanding the whol,10.1093/cesifo/ifq014,https://academic.oup.com/cesifo/article/56/4/465/483703,,1610-241X,56,,,,December,,,,,,,,,https://ideas.repec.org/p/ces/ceswps/_3020.html
43,,1999,"LeBaron, Blake and Arthur, W. Brian and Palmer, Richard",Time series properties of an artificial stock market,article,lebaron_time_1999,ScienceDirect Full Text PDF:/Users/Myworld/Zotero/storage/JXQ37NDM/LeBaron et al. - 1999 - Time series properties of an artificial stock mark.pdf:application/pdf;ScienceDirect Snapshot:/Users/Myworld/Zotero/storage/KGN36MQE/S0165188998000815.html:text/html,1487--1516,"Learning, Evolution, Asset pricing, Financial time series",Journal of Economic Dynamics and Control,2020-02-14,9,en,"This paper presents results from an experimental computer simulated stock market. In this market artificial intelligence algorithms take on the role of traders. They make predictions about the future, and buy and sell stock as indicated by their expectations of future risk and return. Prices are set endogenously to clear the market. Time series from this market are analyzed from the standpoint of well-known empirical features in real markets. The simulated market is able to replicate several of these phenomenon, including fundamental and technical predictability, volatility persistence, and leptokurtosis. Moreover, agent behavior is shown to be consistent with these features, in that they condition on the variables that are found to be significant in the time series tests. Agents are also able to collectively learn a homogeneous rational expectations equilibrium for certain parameters giving both time series and individual forecast values consistent with the equilibrium parameter values.",10.1016/S0165-1889(98)00081-5,http://www.sciencedirect.com/science/article/pii/S0165188998000815,,0165-1889,23,,,,September,,,,,,,,,http://www2.econ.iastate.edu/tesfatsi/sfiblake.pdf
44,,2006,"Tesfatsion, Leigh and Judd, Kenneth L.",Handbook of {Computational} {Economics}: {Agent}-{Based} {Computational} {Economics},book,tesfatsion_handbook_2006,,,"Business \& Economics / Business Mathematics, Business \& Economics / Econometrics, Business \& Economics / Economics / General, Business \& Economics / Finance / General",,,,en,"The explosive growth in computational power over the past several decades offers new tools and opportunities for economists. This handbook volume surveys recent research on Agent-based Computational Economics (ACE), the computational study of economic processes modeled as dynamic systems of interacting agents. Empirical referents for ""agents"" in ACE models can range from individuals or social groups with learning capabilities to physical world features with no cognitive function. Topics covered include: learning; empirical validation; network economics; social dynamics; financial markets; innovation and technological change; organizations; market design; automated markets and trading agents; political economy; social-ecological systems; computational laboratory development; and general methodological issues.*Every volume contains contributions from leading researchers*Each Handbook presents an accurate, self-contained survey of a particular topic *The series provides comprehensive and accessible surveys",,,Handbook of {Computational} {Economics},,,,,,May,Elsevier,,Google-Books-ID: Na5J44IBaHkC,,978-0-08-045987-5,,,,https://www.amazon.co.uk/Handbook-Computational-Economics-Agent-Based/dp/0444512535
45,,2012,"Fuster, Andreas and Hebert, Benjamin and Laibson, David","Natural {Expectations}, {Macroeconomic} {Dynamics}, and {Asset} {Pricing}",article,fuster_natural_2012,"Full Text PDF:/Users/Myworld/Zotero/storage/LME9BL93/Fuster et al. - 2012 - Natural Expectations, Macroeconomic Dynamics, and .pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/SVGNBWBL/663989.html:text/html",1--48,,NBER Macroeconomics Annual,2020-02-14,,,,10.1086/663989,https://www.journals.uchicago.edu/doi/full/10.1086/663989,,0889-3365,26,,,,January,,,,,,,,,https://www.journals.uchicago.edu/doi/full/10.1086/663989
46,,1959,"Simon, Herbert A.",Theories of {Decision}-{Making} in {Economics} and {Behavioral} {Science},article,simon_theories_1959,,253--283,,The American Economic Review,2020-02-14,3,,,,https://www.jstor.org/stable/1809901,,0002-8282,49,,,,,,,,,,,,,https://www.jstor.org/stable/1809901
47,,1999,"Rosser, J. Barkley",On the {Complexities} of {Complex} {Economic} {Dynamics},article,rosser_complexities_1999,Full Text PDF:/Users/Myworld/Zotero/storage/9HTEGTV3/Rosser - 1999 - On the Complexities of Complex Economic Dynamics.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/CMY8WUZC/articles.html:text/html,169--192,"Dynamic Analysis, Optimization Techniques, Programming Models",Journal of Economic Perspectives,2020-02-14,4,en,"Complex economic nonlinear dynamics endogenously do not converge to a point, a limit cycle, or an explosion. Their study developed out of earlier studies of cybernetic, catastrophic, and chaotic systems. Complexity analysis stresses interactions among dispersed agents without a global controller, tangled hierarchies, adaptive learning, evolution, and novelty, and out-of-equilibrium dynamics. Complexity methods include interacting particle systems, self-organized criticality, and evolutionary game theory, to simulate artificial stock markets and other phenomena. Theoretically, bounded rationality replaces rational expectations. Complexity theory influences empirical methods and restructures policy debates.",10.1257/jep.13.4.169,https://www.aeaweb.org/articles?id=10.1257/jep.13.4.169,,0895-3309,13,,,,December,,,,,,,,,https://www.jstor.org/stable/2647018
48,,2006,"Tesfatsion, Leigh",Chapter 16 {Agent}-{Based} {Computational} {Economics}: {A} {Constructive} {Approach} to {Economic} {Theory},incollection,tesfatsion_chapter_2006,ScienceDirect Full Text PDF:/Users/Myworld/Zotero/storage/MLJ6982Z/Tesfatsion - 2006 - Chapter 16 Agent-Based Computational Economics A .pdf:application/pdf;ScienceDirect Snapshot:/Users/Myworld/Zotero/storage/SNXU28RE/S1574002105020162.html:text/html,831--880,"agent-based computational economics, agent-oriented programming, behavioral uncertainty, complex adaptive systems, decentralized market processes, endogenous interactions, institutions, learning, strategic rivalry",,2020-02-14,,en,"Economies are complicated systems encompassing micro behaviors, interaction patterns, and global regularities. Whether partial or general in scope, studies of economic systems must consider how to handle difficult real-world aspects such as asymmetric information, imperfect competition, strategic interaction, collective learning, and the possibility of multiple equilibria. Recent advances in analytical and computational tools are permitting new approaches to the quantitative study of these aspects. One such approach is Agent-based Computational Economics (ACE), the computational study of economic processes modeled as dynamic systems of interacting agents. This chapter explores the potential advantages and disadvantages of ACE for the study of economic systems. General points are concretely illustrated using an ACE model of a two-sector decentralized market economy. Six issues are highlighted: Constructive understanding of production, pricing, and trade processes; the essential primacy of survival; strategic rivalry and market power; behavioral uncertainty and learning; the role of conventions and organizations; and the complex interactions among structural attributes, institutional arrangements, and behavioral dispositions.",10.1016/S1574-0021(05)02016-2,http://www.sciencedirect.com/science/article/pii/S1574002105020162,Chapter 16 {Agent}-{Based} {Computational} {Economics},,2,,,,January,Elsevier,,,,,"Tesfatsion, L. and Judd, K. L.",Handbook of {Computational} {Economics},,https://www.researchgate.net/publication/222581032_Chapter_16_Agent-Based_Computational_Economics_A_Constructive_Approach_to_Economic_Theory
49,,2018,"Ragot, Xavier",Chapter 4 - {Heterogeneous} {Agents} in the {Macroeconomy}: {Reduced}-{Heterogeneity} {Representations},incollection,ragot_chapter_2018,ScienceDirect Full Text PDF:/Users/Myworld/Zotero/storage/QQJVTL7A/Ragot - 2018 - Chapter 4 - Heterogeneous Agents in the Macroecono.pdf:application/pdf;ScienceDirect Snapshot:/Users/Myworld/Zotero/storage/YL2X8HHA/S1574002118300017.html:text/html,215--253,"Incomplete insurance markets, Model simulation, Reduced heterogeneity",,2020-02-14,,en,"This chapter surveys heterogeneous agent models with rational expectations that deliver a finite number of heterogeneous agents as an equilibrium outcomes. Instead of having a distribution with infinite support to follow, this class of models endogenously generates a finite number of agents as an equilibrium outcome. As a consequence, many of the additional tools and techniques developed in the DSGE literature with a representative agent can easily be imported in this class of models, allowing these models to be brought to the data with advanced econometric techniques. No-trade, small-heterogeneity and truncation methods are presented. The derivation of optimal policies is presented in these environments. Finally, the chapter discusses the relation with other heterogeneous agent models that don't rely on rational expectations, namely agent-based models.",10.1016/bs.hescom.2018.02.001,http://www.sciencedirect.com/science/article/pii/S1574002118300017,Chapter 4 - {Heterogeneous} {Agents} in the {Macroeconomy},,4,,,,January,Elsevier,,,,,"Hommes, Cars and LeBaron, Blake",Handbook of {Computational} {Economics},Handbook of {Computational} {Economics},http://xavier-ragot.fr/pdf/progress/RAGOT_final_handbook.pdf
50,,2013,"Lengnick, Matthias",Agent-based macroeconomics: {A} baseline model,article,lengnick_agent-based_2013,ScienceDirect Full Text PDF:/Users/Myworld/Zotero/storage/87Y2RI5U/Lengnick - 2013 - Agent-based macroeconomics A baseline model.pdf:application/pdf;ScienceDirect Snapshot:/Users/Myworld/Zotero/storage/W6MRBSL6/S0167268112002806.html:text/html,102--120,"Agent-based macroeconomics, Complex adaptive systems, Complexity, Emergence, Microfoundations",Journal of Economic Behavior \& Organization,2020-02-14,,en,"This paper develops a baseline agent-based macroeconomic model and contrasts it with the common dynamic stochastic general equilibrium approach. Although simple, the model can reproduce a lot of the stylized facts of business cycles. The author argues that agent-based modeling is an adequate response to the recently expressed criticism of macroeconomic methodology because it allows for aggregate behavior that is more than simply a replication of microeconomic optimization decisions in equilibrium. At the same time it allows for absolutely consistent microfoundations, including the structure and properties of markets. Most importantly, it does not depend on equilibrium assumptions or fictitious auctioneers and does therefore not rule out coordination failures, instability and crisis by definition. A situation that is very close to a general equilibrium can instead be shown to result endogenously from non-rational micro interaction.",10.1016/j.jebo.2012.12.021,http://www.sciencedirect.com/science/article/pii/S0167268112002806,Agent-based macroeconomics,0167-2681,86,,,,February,,,,,,,,,https://legacy.econ.tuwien.ac.at/lva/compeco.se/artikel/jebo_2013_agent_based_macroeconomics_a_baseline_model.pdf
51,,2018,"Branch, William A. and McGough, Bruce",Chapter 1 - {Heterogeneous} {Expectations} and {Micro}-{Foundations} in {Macroeconomics},incollection,branch_chapter_2018,ScienceDirect Full Text PDF:/Users/Myworld/Zotero/storage/RZFFU7QR/Branch and McGough - 2018 - Chapter 1 - Heterogeneous Expectations and Micro-F.pdf:application/pdf;ScienceDirect Snapshot:/Users/Myworld/Zotero/storage/MAGL64M6/S1574002118300078.html:text/html,3--62,"Asset pricing, Bounded rationality, DSGE models, Heterogeneous expectations, Monetary policy, Monetary theory",,2020-02-14,,en,"This chapter provides an overview of recent models of heterogeneous expectations in macroeconomics. We begin with a description of household behavior in an environment with features common to many models in asset pricing, monetary theory, and New Keynesian macroeconomics. We demonstrate issues facing modelers when agents are boundedly rational and have (possibly) heterogeneous beliefs about the future evolution of endogenous state variables. These issues can be summed up in three broad categories: boundedly rational decision making, aggregation of decision rules, and the appropriate equilibrium concept. After having laid out the basic underlying theories we present several applications that illustrate the non-trivial implications of heterogeneous expectations for economic outcomes. Our applications include asset-pricing and bubbles, trading inefficiencies in monetary economies, and monetary policy design.",10.1016/bs.hescom.2018.03.001,http://www.sciencedirect.com/science/article/pii/S1574002118300078,,,4,,,,January,Elsevier,,,,,"Hommes, Cars and LeBaron, Blake",Handbook of {Computational} {Economics},Handbook of {Computational} {Economics},http://william-branch-smeh.squarespace.com/s/handbook_beta5.pdf
52,,2008,"LeBaron, Blake and Tesfatsion, Leigh",Modeling {Macroeconomies} as {Open}-{Ended} {Dynamic} {Systems} of {Interacting} {Agents},article,lebaron_modeling_2008,Full Text PDF:/Users/Myworld/Zotero/storage/3TZ3BEAI/LeBaron and Tesfatsion - 2008 - Modeling Macroeconomies as Open-Ended Dynamic Syst.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/UV236RF5/articles.html:text/html,246--250,"Existence and Stability Conditions of Equilibrium, General Aggregative Models: General",American Economic Review,2020-02-14,2,en,,10.1257/aer.98.2.246,https://www.aeaweb.org/articles?id=10.1257/aer.98.2.246,,0002-8282,98,,,,May,,,,,,,,,https://www.jstor.org/stable/29730028
53,,2016,"Alatas, Vivi and Banerjee, Abhijit and Chandrasekhar, Arun G. and Hanna, Rema and Olken, Benjamin A.",Network {Structure} and the {Aggregation} of {Information}: {Theory} and {Evidence} from {Indonesia},article,alatas_network_2016,Full Text:/Users/Myworld/Zotero/storage/4S29TBDG/Alatas et al. - 2016 - Network Structure and the Aggregation of Informati.pdf:application/pdf;Snapshot:/Users/Myworld/Zotero/storage/42Q3MIME/articles.html:text/html,1663--1704,"Household Saving, Learning, Economic Anthropology, Social and Economic Stratification, Language, Communication, Belief, Information and Knowledge, Personal Finance, Search, Unawareness, Network Formation and Analysis: Theory, Measurement and Analysis of Poverty, Microeconomic Analyses of Economic Development, Economic Sociology",American Economic Review,2020-02-15,7,en,"We use unique data from over 600 Indonesian communities on what individuals know about the poverty status of others to study how network structure influences information aggregation. We develop a model of semi-Bayesian learning on networks, which we structurally estimate using within-village data. The model generates qualitative predictions about how cross-village patterns of learning relate to network structure, which we show are borne out in the data. We apply our findings to a community-based targeting program, where citizens chose households to receive aid, and show that the networks that the model predicts to be more diffusive differentially benefit from community targeting.",10.1257/aer.20140705,https://www.aeaweb.org/articles?id=10.1257/aer.20140705,Network {Structure} and the {Aggregation} of {Information},0002-8282,106,,,,July,,,,,,,,,https://www.aeaweb.org/articles?id=10.1257/aer.20140705
